2025-03-16 00:29:05,217 - INFO - Applied quirks (see `speechbrain.utils.quirks`): [allow_tf32, disable_jit_profiling]
2025-03-16 00:29:05,217 - INFO - Excluded quirks specified by the `SB_DISABLE_QUIRKS` environment (comma-separated list): []
2025-03-16 00:29:10,295 - INFO - Chunk 152.00s | Processed in 0.0920s | Detected Speech: [(148.14909375, 148.31784375), (148.40221875, 152.94159375)]
2025-03-16 00:29:10,391 - INFO - Chunk 156.00s | Processed in 0.0940s | Detected Speech: [(152.03096875, 152.89159375), (153.36409375, 154.30909375), (154.81534375, 156.23284375), (156.75596875, 157.02596875)]
2025-03-16 00:29:10,487 - INFO - Chunk 160.00s | Processed in 0.0940s | Detected Speech: [(156.03096875, 156.25034375), (156.82409375, 157.93784375), (158.02221875, 159.05159375), (159.15284375, 159.57471875), (159.79409375, 161.02596875)]
2025-03-16 00:29:10,586 - INFO - Chunk 164.00s | Processed in 0.0972s | Detected Speech: [(160.03096875, 162.76471875), (163.32159375, 165.02596875)]
2025-03-16 00:29:10,680 - INFO - Chunk 168.00s | Processed in 0.0920s | Detected Speech: [(164.03096875, 165.70159375), (166.79846875, 168.95846875)]
2025-03-16 00:29:10,771 - INFO - Chunk 172.00s | Processed in 0.0890s | Detected Speech: [(168.03096875, 168.99284375), (169.51596875, 171.00096875), (172.33409375, 173.02596875)]
2025-03-16 00:29:10,860 - INFO - Chunk 176.00s | Processed in 0.0886s | Detected Speech: [(172.36846875, 173.44846875), (173.81971875, 173.87034375), (174.52846875, 177.02596875)]
2025-03-16 00:29:10,946 - INFO - Chunk 180.00s | Processed in 0.0850s | Detected Speech: [(176.03096875, 180.28346875)]
2025-03-16 00:29:11,034 - INFO - Chunk 184.00s | Processed in 0.0860s | Detected Speech: [(180.03096875, 180.30096875), (180.97596875, 185.02596875)]
2025-03-16 00:29:11,132 - INFO - Chunk 188.00s | Processed in 0.0970s | Detected Speech: [(184.03096875, 186.68034375), (187.37221875, 189.02596875)]
2025-03-16 00:29:11,231 - INFO - Chunk 192.00s | Processed in 0.0970s | Detected Speech: [(188.03096875, 190.86596875), (191.42284375, 193.02596875)]
2025-03-16 00:29:11,318 - INFO - Chunk 196.00s | Processed in 0.0860s | Detected Speech: [(192.03096875, 193.90409375), (194.62971875, 197.02596875)]
2025-03-16 00:29:11,410 - INFO - Chunk 200.00s | Processed in 0.0900s | Detected Speech: [(196.03096875, 197.87034375), (198.32596875, 199.99659375), (200.31721875, 201.02596875)]
2025-03-16 00:29:11,499 - INFO - Chunk 204.00s | Processed in 0.0870s | Detected Speech: [(200.03096875, 200.11534375), (200.28409375, 205.02596875)]
2025-03-16 00:29:11,596 - INFO - Chunk 208.00s | Processed in 0.0960s | Detected Speech: [(204.03096875, 204.57096875), (204.79034375, 205.44846875), (205.98846875, 209.02596875)]
2025-03-16 00:29:11,689 - INFO - Chunk 212.00s | Processed in 0.0900s | Detected Speech: [(208.03096875, 212.75596875)]
2025-03-16 00:29:11,783 - INFO - Chunk 216.00s | Processed in 0.0915s | Detected Speech: [(212.03096875, 212.79034375), (213.49909375, 215.81096875), (216.84034375, 217.02596875)]
2025-03-16 00:29:11,875 - INFO - Chunk 220.00s | Processed in 0.0900s | Detected Speech: [(216.84096875, 219.69284375), (220.26659375, 220.97534375)]
2025-03-16 00:29:11,977 - INFO - Chunk 224.00s | Processed in 0.1014s | Detected Speech: [(220.26721875, 222.24159375), (223.22034375, 225.02596875)]
2025-03-16 00:29:12,077 - INFO - Chunk 228.00s | Processed in 0.0973s | Detected Speech: [(224.03096875, 226.52846875), (227.37221875, 229.02596875)]
2025-03-16 00:29:12,176 - INFO - Chunk 232.00s | Processed in 0.0987s | Detected Speech: [(228.03096875, 229.70159375), (230.14034375, 231.74346875), (231.99659375, 233.02596875)]
2025-03-16 00:29:12,263 - INFO - Chunk 236.00s | Processed in 0.0852s | Detected Speech: [(232.03096875, 237.02596875)]
2025-03-16 00:29:12,356 - INFO - Chunk 240.00s | Processed in 0.0908s | Detected Speech: [(236.03096875, 241.02596875)]
2025-03-16 00:29:12,461 - INFO - Chunk 244.00s | Processed in 0.1030s | Detected Speech: [(240.03096875, 240.40221875), (240.65534375, 245.00909375)]
2025-03-16 00:29:12,551 - INFO - Chunk 248.00s | Processed in 0.0880s | Detected Speech: [(244.03096875, 245.33034375), (245.75221875, 247.33846875), (247.60846875, 249.02596875)]
2025-03-16 00:29:12,644 - INFO - Chunk 252.00s | Processed in 0.0920s | Detected Speech: [(248.03096875, 249.66784375), (250.19096875, 250.78159375), (251.10221875, 253.02596875)]
2025-03-16 00:29:12,738 - INFO - Chunk 256.00s | Processed in 0.0920s | Detected Speech: [(252.03096875, 254.68034375), (255.28784375, 257.02596875)]
2025-03-16 00:29:12,831 - INFO - Chunk 260.00s | Processed in 0.0920s | Detected Speech: [(256.03096875, 258.57909375), (259.22034375, 261.02596875)]
2025-03-16 00:29:12,923 - INFO - Chunk 264.00s | Processed in 0.0890s | Detected Speech: [(260.03096875, 262.57909375), (262.95034375, 265.02596875)]
2025-03-16 00:29:13,015 - INFO - Chunk 268.00s | Processed in 0.0910s | Detected Speech: [(264.03096875, 266.84909375), (267.81096875, 269.02596875)]
2025-03-16 00:29:13,102 - INFO - Chunk 272.00s | Processed in 0.0850s | Detected Speech: [(268.03096875, 269.34721875), (270.10659375, 272.48596875)]
2025-03-16 00:29:13,200 - INFO - Chunk 276.00s | Processed in 0.0970s | Detected Speech: [(272.03096875, 272.46971875), (273.17846875, 273.65096875), (273.85346875, 277.02596875)]
2025-03-16 00:29:13,294 - INFO - Chunk 280.00s | Processed in 0.0930s | Detected Speech: [(276.03096875, 281.02596875)]
2025-03-16 00:29:13,386 - INFO - Chunk 284.00s | Processed in 0.0900s | Detected Speech: [(280.03096875, 284.30034375)]
2025-03-16 00:29:13,477 - INFO - Chunk 288.00s | Processed in 0.0900s | Detected Speech: [(284.03096875, 284.33471875), (285.00971875, 287.10221875), (287.94596875, 288.99221875)]
2025-03-16 00:29:13,577 - INFO - Chunk 292.00s | Processed in 0.0981s | Detected Speech: [(288.03096875, 292.60409375)]
2025-03-16 00:29:13,670 - INFO - Chunk 296.00s | Processed in 0.0910s | Detected Speech: [(292.03096875, 292.62159375), (293.09409375, 294.62971875), (294.88284375, 296.46909375)]
2025-03-16 00:29:13,766 - INFO - Chunk 300.00s | Processed in 0.0951s | Detected Speech: [(296.03096875, 296.50346875), (297.49909375, 301.02596875)]
2025-03-16 00:29:13,863 - INFO - Chunk 304.00s | Processed in 0.0960s | Detected Speech: [(300.03096875, 305.00909375)]
2025-03-16 00:29:13,954 - INFO - Chunk 308.00s | Processed in 0.0890s | Detected Speech: [(304.03096875, 308.84034375)]
2025-03-16 00:29:14,047 - INFO - Chunk 312.00s | Processed in 0.0921s | Detected Speech: [(308.03096875, 310.42721875), (311.30471875, 313.02596875)]
2025-03-16 00:29:14,142 - INFO - Chunk 316.00s | Processed in 0.0930s | Detected Speech: [(312.62159375, 313.66784375), (313.93784375, 316.82346875)]
2025-03-16 00:29:14,245 - INFO - Chunk 320.00s | Processed in 0.1009s | Detected Speech: [(316.03096875, 316.80721875), (317.31346875, 321.02596875)]
2025-03-16 00:29:14,345 - INFO - Chunk 324.00s | Processed in 0.0990s | Detected Speech: [(320.03096875, 321.31346875), (321.76909375, 324.28346875)]
2025-03-16 00:29:14,440 - INFO - Chunk 328.00s | Processed in 0.0926s | Detected Speech: [(324.03096875, 324.52034375), (324.99284375, 329.02596875)]
2025-03-16 00:29:14,529 - INFO - Chunk 332.00s | Processed in 0.0880s | Detected Speech: [(328.03096875, 328.57096875), (328.68909375, 329.61721875), (331.23721875, 332.48596875)]
2025-03-16 00:29:14,622 - INFO - Chunk 336.00s | Processed in 0.0920s | Detected Speech: [(332.03096875, 332.48659375), (333.98846875, 337.02596875)]
2025-03-16 00:29:14,714 - INFO - Chunk 340.00s | Processed in 0.0910s | Detected Speech: [(336.03096875, 337.33034375), (338.08971875, 341.02596875)]
2025-03-16 00:29:14,806 - INFO - Chunk 344.00s | Processed in 0.0900s | Detected Speech: [(340.03096875, 342.56221875), (343.42284375, 345.02596875)]
2025-03-16 00:29:14,905 - INFO - Chunk 348.00s | Processed in 0.0961s | Detected Speech: [(344.03096875, 346.86596875), (347.57471875, 348.89096875)]
2025-03-16 00:29:15,000 - INFO - Chunk 352.00s | Processed in 0.0940s | Detected Speech: [(348.03096875, 348.94221875), (350.64659375, 353.02596875)]
2025-03-16 00:29:15,089 - INFO - Chunk 356.00s | Processed in 0.0861s | Detected Speech: [(352.03096875, 355.22034375), (355.57471875, 357.02596875)]
2025-03-16 00:29:15,179 - INFO - Chunk 360.00s | Processed in 0.0880s | Detected Speech: [(356.03096875, 357.93784375), (358.22471875, 359.62534375), (360.06409375, 361.02596875)]
2025-03-16 00:29:15,271 - INFO - Chunk 364.00s | Processed in 0.0900s | Detected Speech: [(360.03096875, 365.02596875)]
2025-03-16 00:29:15,362 - INFO - Chunk 368.00s | Processed in 0.0890s | Detected Speech: [(364.03096875, 365.88721875), (366.08971875, 368.68846875)]
2025-03-16 00:29:15,456 - INFO - Chunk 372.00s | Processed in 0.0920s | Detected Speech: [(368.03096875, 371.08534375), (371.57471875, 373.02596875)]
2025-03-16 00:29:15,551 - INFO - Chunk 376.00s | Processed in 0.0941s | Detected Speech: [(372.03096875, 377.02596875)]
2025-03-16 00:29:15,645 - INFO - Chunk 380.00s | Processed in 0.0911s | Detected Speech: [(376.03096875, 381.02596875)]
2025-03-16 00:29:15,740 - INFO - Chunk 384.00s | Processed in 0.0926s | Detected Speech: [(380.03096875, 382.61284375), (383.01784375, 385.02596875)]
2025-03-16 00:29:15,844 - INFO - Chunk 388.00s | Processed in 0.1020s | Detected Speech: [(384.03096875, 386.86596875), (387.33846875, 389.02596875)]
2025-03-16 00:29:15,951 - INFO - Chunk 392.00s | Processed in 0.1051s | Detected Speech: [(388.03096875, 391.37221875), (391.72659375, 393.02596875)]
2025-03-16 00:29:16,045 - INFO - Chunk 396.00s | Processed in 0.0920s | Detected Speech: [(392.03096875, 393.39784375), (393.71846875, 396.09784375), (396.68846875, 397.02596875)]
2025-03-16 00:29:16,142 - INFO - Chunk 400.00s | Processed in 0.0956s | Detected Speech: [(396.72284375, 399.06846875), (399.79409375, 401.02596875)]
2025-03-16 00:29:16,240 - INFO - Chunk 404.00s | Processed in 0.0972s | Detected Speech: [(400.03096875, 402.30909375), (402.96721875, 405.02596875)]
2025-03-16 00:29:16,333 - INFO - Chunk 408.00s | Processed in 0.0910s | Detected Speech: [(404.03096875, 406.22471875), (406.56221875, 409.02596875)]
2025-03-16 00:29:16,431 - INFO - Chunk 412.00s | Processed in 0.0967s | Detected Speech: [(408.03096875, 410.64659375), (411.06846875, 413.02596875)]
2025-03-16 00:29:16,535 - INFO - Chunk 416.00s | Processed in 0.1010s | Detected Speech: [(412.03096875, 413.97159375), (415.59159375, 417.02596875)]
2025-03-16 00:29:16,637 - INFO - Chunk 420.00s | Processed in 0.1000s | Detected Speech: [(416.03096875, 417.71846875), (418.22471875, 420.33409375), (420.78971875, 421.02596875)]
2025-03-16 00:29:16,737 - INFO - Chunk 424.00s | Processed in 0.0976s | Detected Speech: [(420.03096875, 420.35159375), (420.80721875, 423.28784375), (423.47346875, 425.02596875)]
2025-03-16 00:29:16,833 - INFO - Chunk 428.00s | Processed in 0.0945s | Detected Speech: [(424.03096875, 425.36409375), (425.85346875, 429.02596875)]
2025-03-16 00:29:16,921 - INFO - Chunk 432.00s | Processed in 0.0870s | Detected Speech: [(428.03096875, 429.34721875), (430.12346875, 432.48596875)]
2025-03-16 00:29:17,008 - INFO - Chunk 436.00s | Processed in 0.0847s | Detected Speech: [(432.03096875, 432.52034375), (432.89159375, 434.98409375), (435.32159375, 437.02596875)]
2025-03-16 00:29:17,095 - INFO - Chunk 440.00s | Processed in 0.0854s | Detected Speech: [(436.03096875, 438.68034375), (439.22034375, 440.95846875)]
2025-03-16 00:29:17,193 - INFO - Chunk 444.00s | Processed in 0.0960s | Detected Speech: [(440.03096875, 441.00971875), (441.38096875, 442.24159375), (442.95034375, 444.62096875)]
2025-03-16 00:29:17,288 - INFO - Chunk 448.00s | Processed in 0.0930s | Detected Speech: [(444.03096875, 444.67221875), (445.36409375, 446.15721875), (446.47784375, 447.76034375), (448.06409375, 449.02596875)]
2025-03-16 00:29:17,382 - INFO - Chunk 452.00s | Processed in 0.0920s | Detected Speech: [(448.03096875, 450.12346875), (450.35971875, 453.02596875)]
2025-03-16 00:29:17,480 - INFO - Chunk 456.00s | Processed in 0.0950s | Detected Speech: [(452.03096875, 452.65534375), (452.89159375, 457.02596875)]
2025-03-16 00:29:17,575 - INFO - Chunk 460.00s | Processed in 0.0940s | Detected Speech: [(456.03096875, 457.78596875), (458.03909375, 461.02596875)]
2025-03-16 00:29:17,677 - INFO - Chunk 464.00s | Processed in 0.1007s | Detected Speech: [(460.03096875, 462.27534375), (462.96721875, 465.02596875)]
2025-03-16 00:29:17,777 - INFO - Chunk 468.00s | Processed in 0.0976s | Detected Speech: [(464.03096875, 466.62971875), (466.98409375, 469.02596875)]
2025-03-16 00:29:17,881 - INFO - Chunk 472.00s | Processed in 0.1030s | Detected Speech: [(468.21659375, 471.50721875), (472.38471875, 472.87409375)]
2025-03-16 00:29:17,979 - INFO - Chunk 476.00s | Processed in 0.0970s | Detected Speech: [(472.41909375, 474.69721875), (475.03471875, 477.02596875)]
2025-03-16 00:29:18,076 - INFO - Chunk 480.00s | Processed in 0.0950s | Detected Speech: [(476.03096875, 477.29659375), (477.90409375, 481.02596875)]
2025-03-16 00:29:18,162 - INFO - Chunk 484.00s | Processed in 0.0840s | Detected Speech: [(480.03096875, 481.39784375), (481.87034375, 484.99221875)]
2025-03-16 00:29:18,254 - INFO - Chunk 488.00s | Processed in 0.0900s | Detected Speech: [(484.03096875, 485.14471875), (485.39784375, 489.02596875)]
2025-03-16 00:29:18,350 - INFO - Chunk 492.00s | Processed in 0.0942s | Detected Speech: [(488.03096875, 493.00909375)]
2025-03-16 00:29:18,446 - INFO - Chunk 496.00s | Processed in 0.0940s | Detected Speech: [(492.03096875, 495.08534375)]
2025-03-16 00:29:18,543 - INFO - Chunk 500.00s | Processed in 0.0950s | Detected Speech: [(496.89159375, 498.03909375), (499.84471875, 501.02596875)]
2025-03-16 00:29:18,650 - INFO - Chunk 504.00s | Processed in 0.1050s | Detected Speech: [(500.03096875, 502.76471875), (503.22034375, 504.19909375), (504.75596875, 505.02596875)]
2025-03-16 00:29:18,755 - INFO - Chunk 508.00s | Processed in 0.1035s | Detected Speech: [(504.03096875, 504.26721875), (504.70596875, 509.02596875)]
2025-03-16 00:29:18,861 - INFO - Chunk 512.00s | Processed in 0.1045s | Detected Speech: [(508.03096875, 511.05159375), (511.92909375, 513.02596875)]
2025-03-16 00:29:18,962 - INFO - Chunk 516.00s | Processed in 0.0989s | Detected Speech: [(512.03096875, 514.42721875), (514.64659375, 516.38471875)]
2025-03-16 00:29:19,057 - INFO - Chunk 520.00s | Processed in 0.0940s | Detected Speech: [(516.03096875, 516.40221875), (516.92534375, 519.35534375), (520.38471875, 521.02596875)]
2025-03-16 00:29:19,150 - INFO - Chunk 524.00s | Processed in 0.0920s | Detected Speech: [(520.38534375, 524.18221875)]
2025-03-16 00:29:19,242 - INFO - Chunk 528.00s | Processed in 0.0890s | Detected Speech: [(525.53284375, 529.02596875)]
2025-03-16 00:29:19,342 - INFO - Chunk 532.00s | Processed in 0.0990s | Detected Speech: [(528.03096875, 529.87034375), (531.05159375, 533.02596875)]
2025-03-16 00:29:19,439 - INFO - Chunk 536.00s | Processed in 0.0950s | Detected Speech: [(532.03096875, 535.27096875), (536.36784375, 537.02596875)]
2025-03-16 00:29:19,536 - INFO - Chunk 540.00s | Processed in 0.0950s | Detected Speech: [(536.40221875, 538.15721875), (539.97971875, 541.02596875)]
2025-03-16 00:29:19,632 - INFO - Chunk 544.00s | Processed in 0.0940s | Detected Speech: [(540.03096875, 541.90409375), (542.27534375, 543.84471875), (544.60409375, 545.02596875)]
2025-03-16 00:29:19,727 - INFO - Chunk 548.00s | Processed in 0.0930s | Detected Speech: [(544.62159375, 546.68034375), (546.89971875, 548.46909375)]
2025-03-16 00:29:19,826 - INFO - Chunk 552.00s | Processed in 0.0970s | Detected Speech: [(548.03096875, 548.50346875), (549.04346875, 552.03034375), (552.41846875, 553.02596875)]
2025-03-16 00:29:19,924 - INFO - Chunk 556.00s | Processed in 0.0959s | Detected Speech: [(552.43596875, 555.11909375), (555.59159375, 556.99221875)]
2025-03-16 00:29:20,020 - INFO - Chunk 560.00s | Processed in 0.0940s | Detected Speech: [(556.03096875, 557.90409375), (558.42721875, 559.91221875)]
2025-03-16 00:29:20,112 - INFO - Chunk 564.00s | Processed in 0.0900s | Detected Speech: [(561.06034375, 562.86596875), (563.47346875, 565.02596875)]
2025-03-16 00:29:20,204 - INFO - Chunk 568.00s | Processed in 0.0901s | Detected Speech: [(564.03096875, 566.79846875), (567.10221875, 568.99221875)]
2025-03-16 00:29:20,300 - INFO - Chunk 572.00s | Processed in 0.0930s | Detected Speech: [(568.03096875, 573.02596875)]
2025-03-16 00:29:20,396 - INFO - Chunk 576.00s | Processed in 0.0940s | Detected Speech: [(572.03096875, 573.29659375), (573.49909375, 574.86596875), (575.40596875, 577.02596875)]
2025-03-16 00:29:20,484 - INFO - Chunk 580.00s | Processed in 0.0870s | Detected Speech: [(576.03096875, 578.46096875), (579.43971875, 581.02596875)]
2025-03-16 00:29:20,574 - INFO - Chunk 584.00s | Processed in 0.0892s | Detected Speech: [(580.03096875, 581.66784375), (582.19096875, 585.02596875)]
2025-03-16 00:29:20,660 - INFO - Chunk 588.00s | Processed in 0.0836s | Detected Speech: [(584.03096875, 585.26284375), (585.60034375, 589.02596875)]
2025-03-16 00:29:20,753 - INFO - Chunk 592.00s | Processed in 0.0913s | Detected Speech: [(588.03096875, 589.85346875), (590.49471875, 592.46909375)]
2025-03-16 00:29:20,847 - INFO - Chunk 596.00s | Processed in 0.0920s | Detected Speech: [(592.03096875, 592.50346875), (592.94221875, 596.38471875)]
2025-03-16 00:29:20,941 - INFO - Chunk 600.00s | Processed in 0.0909s | Detected Speech: [(596.03096875, 596.40221875), (597.81971875, 600.97534375)]
2025-03-16 00:29:21,044 - INFO - Chunk 604.00s | Processed in 0.1000s | Detected Speech: [(600.03096875, 602.07284375), (602.93346875, 605.02596875)]
2025-03-16 00:29:21,145 - INFO - Chunk 608.00s | Processed in 0.0993s | Detected Speech: [(604.03096875, 606.68034375), (607.22034375, 608.35096875), (608.75596875, 609.02596875)]
2025-03-16 00:29:21,248 - INFO - Chunk 612.00s | Processed in 0.1014s | Detected Speech: [(608.03096875, 608.36846875), (608.75659375, 613.02596875)]
2025-03-16 00:29:21,345 - INFO - Chunk 616.00s | Processed in 0.0950s | Detected Speech: [(612.04784375, 616.67159375)]
2025-03-16 00:29:21,345 - INFO - Empty ground truth or VAD labels
2025-03-16 00:29:21,578 - INFO - Final structured logs saved: vad_results.json
